"";"full_text"
"1";"¿¿HOLA?? ¿¿¿¿¿¿¿¿¿ES DE LA PIZZERIA DE BUENOS AIRES??? <U+0001F1E6><U+0001F1F7><U+0001F1E6><U+0001F1F7><U+0001F1E6><U+0001F1F7><U+0001F1E6><U+0001F1F7><U+0001F1E6><U+0001F1F7> PEDÍ UNA PIZZA <U+0001F355><U+0001F355><U+0001F355><U+0001F355> DEL TAMAÑO DE ARGENTINA <U+0001F6F5><U+0001F4E6><U+0001F6F5><U+0001F4E6><U+0001F6F5><U+0001F4E6> Y SOLO ME DARON UNA ACEITUNA <U+0001F631><U+0001F631><U+0001F631><U+0001F631>
JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJA https://t.co/Ombz8Ulz4N"
"2";"Siempre a full con <U+0001F1E6><U+0001F1F7> y con esta selección que nos representa a todos. Sabemos que darán todo por esta camiseta que tanto queremos. Y como dijo Leo, vamos a estar caminando todos juntos #VamosArgentina <U+0001F1E6><U+0001F1F7><U+2764><U+FE0F>"
"3";"Es insólito el DELAY que tiene flow. Los vecinos me gritan los goles y yo estoy viendo la inauguración de Italia 90 recién.
Ah, pero en 4k."
"4";"la camiseta de francia xdiosss<U+0001F60D>"
"5";"@amadeo1980 Wow, Qué frustración, mi familia está perfecta  y muy bendecida. Cada quien tiene lo que merece..."
"6";"ahora franciiaa, esto es un no parar <U+0001F60D>"
"7";"Es espectacular el nivel de negación porque Macri va al partido, al momento que se sienta y lo enfocan las cámaras nos anulan un gol pero la culpa es de Cristina que agarró una remera de argentina a Miles de kms de distancia jajaja tal cual https://t.co/Udb8zTqlLL"
"8";"@Lauvip09 De dnd son esas cositas"
"9";"Muchas veces, la realidad se hace tediosa por monótona y aburrida, por lineal, sin grandes cambios, sin muchas emociones... Pero tenemos una poderosa herramienta contra ese mal: la imaginación. En el mundo de fantasía al que nos traslada la imaginación, podemos ir donde queramos"
"10";"pero https://t.co/E4obSzAGgd"
"11";"Están geniales los dibujos
 
#comics #pictureoftheday #characterdesign

https://t.co/yzXPsNCyp5 https://t.co/h1JIaNORHe"
"12";"@RodBarriosV JAJAJAJAJA"
"13";"Jajajaja ya suéltenme con su mundial"
"14";"Por dios mi tarjeta de crédito https://t.co/3ZW2W3537N"
"15";"Lloris es un pavo que desde que veo futbol es el portero de francia, es eterno este pavo?"
"16";"Pasa factura el findee, que pajaa amigooo!!!"
"17";"@JuanSantiHago @CapitAnna No encuentro fallas en su logica"
"18";"que gusto escuchar este comentarista"
"19";"@alfredodelmazo Bienvenidas a la familia del #SalarioRosa"
"20";"@CamiZanek Dale amigaaa <U+0001F60D><U+0001F49C>"
"21";"@Te_manda_salu2 @RubenPaladi @fabipa90 Ñooohh por qué se hacen eso? Ay facturas de pan dulce para celíacos re piola. Sé que al principio es un bajón pero la recaída del cuerpo es mucho peor."
"22";"@tntsportsmex LA CONCHA DE TU MADRE PEDAZO DE RE PUTO"
"23";"@Hans2412 @ericvirgsag No, así su locura y divisionismo social, que solo nos demuestra que efectivamente eran beneficiados del neoliberalismo.
apadrinados por los principales enemigos de nuestra patria."
"24";"Odiaremos a los gabachos pero  el himno es <U+0001F60D>"
"25";"Creo que tengo calentura,
O ¿Por qué estoy tan caliente?"
"26";"@Tullidocrates @sanacionchina Tenía que pasar para gansos vos solo son Argentinos por la pelota"
"27";"@kapomcindahouse @elchiringuitotv Concuerdo contigo. Mejor no lo podia explicar. Lo mejor es que ya se intuía y ha salido a dar la comida masticada y aun así siguen sin entender y criticar hahahaha. Esta peña está retrasada perdida"
"28";"@europapress En cima lo apoyas , como no"
"29";"@nenacalupina @DaniMSantacruz Aquí estamos firmes"
"30";"@thesalteater Asquerosa eres tu  tan idiota eres perra"
"31";"que pena ser tú"
"32";"@Pilar_Alegria Jajajaja preocupados ? Ustedes , el actual gobierno es el que se pasado y ""demasiado "" , los otros no están gobernando el estado , solo en determinadas CCAA , por tanto , menos lobos !"
