"";"full_text"
"1";"3/4 A 973 días del Coronavirus en Venezuela, estas son sus estadísticas generales:  

- Total de contagios: 546.435
- Pacientes recuperados: 539.961 (99%)
- Casos activos actuales: 650
- Total de fallecidos: 5.824 https://t.co/it2Mf0V13f"
"2";"#PREVENCIÓN<U+0001F637>| Acude al centro de inmunización más cercano a tu domicilio o en tu lugar de trabajo y ponte la vacuna <U+0001F489>de refuerzo contra la #COVID19

¡Recuerda que al Coronavirus; le llegó la hora!

#LeerEsVida https://t.co/rgJADyhh6J"
"3";"El papa Francisco pide “no dejarse seducir por los cantos de sirena del populismo” ante el debate sobre la migración en Italia. #COVID19 #Coronavirus
#Latinus #InformaciónParaTi
https://t.co/GRsAB4IBlk"
"4";"@Zaldizoro @NataliaVartan Puede empezar por entender esto: https://t.co/zsDYTEqruW. ¿O busca una receta?"
"5";"@juanjodom @IdiazAyuso @PSOE @MasMadrid__ @PODEMOS ...y los que confiesan que sí sabían que existía el CORONAVIRUS antes de la Marcha Feminista, y no advirtieron del peligro a nadie, causando más CONTAGIOS y MUERTES sí? @sextaNoticias @informativost5 @noticias_cuatro  https://t.co/uSWc8cfnoV"
"6";"¿había algo peor que el CORONAVIRUS? Sí, un @PSOE TRAICIONERO  Los @policia y @guardiacivil  civiles acusan a Sánchez de «desarmar al Estado» con el fin de la sedición: https://t.co/1xN3GtqVH9 ésto es lo que quieren en EUROPA? @ComisionEuropea @UNIONEUROPEA"
"7";"#Salud | Científicos descubren un fármaco contra el Covid-19 y el cáncer  

Amplía la información aquí: https://t.co/yoaRrHhND4 

#Fármaco #Coronavirus #NoticieroVV #14Nov https://t.co/kbNFTDHcwC"
"8";"@Nosoymurciegalo Síntomas de gripe , resfriado , espero no sea coronavirus ."
"9";"@AlmeidaPP_ https://t.co/KNbi31b7tv
Que se os muere mucha gente en Madrid, Jose Luis."
"10";"@begonavillacis os importa una mierda la salud y las vidas ajenas, espero que Dios te de lo que te mereces , a ver si cuando contraigas el coronavirus vamos a tener que alegrarnos.. hay que ser mala persona, para que haya tanto veneno en ese cuerpo de orco que tienes"
"11";"<U+0001F637> Confirman dos muertes y 26 contagios de coronavirus en #Mendoza
https://t.co/XVhcLNk8qv"
"12";"@Emiliol58258377 @SerranoAlfonso Una desgracia que el gobierno de Sánchez e Illa que tuvieron toda la información de la pandemia no tomaron ninguna medida mitigante ni previsora para NINGUNA de las RESIDENCIAS en ESPAÑA https://t.co/XCfvNoKGgm"
"13";"@cxwyraa es culpa del coronavirus <U+0001F494><U+0001F494><U+0001F494>"
