"";"full_text"
"1";"Bienvenidos a “Los Mundos de Tezanos”. Dice que la preocupación por la sanidad en España ha crecido ESPECIALMENTE después manifestación Madrid. Y resulta que trabajo de campo acaba el día antes de la manifa (12). Luego os extraña que para estimación electoral use posos de café <U+0001F609> https://t.co/yJHRbIrFsW"
"2";"Las huelgas y manifestaciones sirven, por eso la Comunidad comienza a rectificar. Celebramos el acuerdo pero hay que seguir avanzando. Quedan 27 centros por abrir y la mitad de Madrid sigue sin médico de urgencias de At. Primaria. No podemos tener peor sanidad en 2022 que en 2019"
"3";"Quien piense que la manifestación del domingo era una huelga de médicos, sindicalistas y partidos políticos, como lo quiere vender Ayuso, se equivoca.

Fue principalmente una marea ciudadana que ve como en la Comunidad de Madrid, le están robando su Sanidad Pública. https://t.co/j1XNhLo9D5"
"4";"...tenido prácticamente ni críticas.

 Salimos miles de personas en Madrid el domingo en defensa de la Sanidad Pública que en sus recortes amenaza la salud y la vida de personas y se tapa de inmediato con nuevas “causas”. 
Algo falla estrepitosamente. No hablemos ya de la ...."
"5";"@javiernegre10 Los corruPPtos y los golpisVoX siempre estuvieron en la calle, y a los violadores los han sacado algunos jueces de derechas, para que la gente no hable de la manifestación por la sanidad en Madrid..."
"6";"@ismaelquesada Cuenta las cosas como son, que es muy curioso y muy raro que, justamente después de la macro manifestación en Madrid, por la sanidad pública, salga todo esto..., hay que callar lo de la manifestación. Vamos a cumplir con la amenaza y a crear bulos..."
"7";"@javiernegre10 @vox_es @Santi_ABASCAL <U+0001F602><U+0001F923>Todo un éxito dice el Condenas... Y había 4 gatos. Entonces qué fue la del otro día por la Sanidad Pública en Madrid? <U+0001F926><U+200D><U+2642><U+FE0F>"
"8";"@SanWicente No sabría decirte, pero recordarte que Ayuso sacó mayoría absoluta en prácticamente todos los barrios así queen Madrid puedes encontrar a esta gente en cualquier barrio, que hoy se traga la propaganda ""comunismo o libertad"" y mañana se manifiesta por la sanidad pública..."
"9";"OPINIÓN | Las mentiras de Ayuso y el PP sobre la sanidad en Madrid, por @iescolar https://t.co/2nCSdsNQpn a través de @iescolar"
"10";"Han pasado 6 días de la histórica manifestación por la sanidad de Madrid, donde participaron tanto sindicatos como partidos políticos de izquierda como Más Madrid, PSOE y Podemos.Y sigo esperando la evidencia de la derecha que habían ""no madrileños"" y ""autocares"" con ""bocadillos"""
"11";"@ppmadrid @eruizescudero @eldebate_com Este es el problema de la sanidad en Madrid, lleváis décadas vendiéndola a vuestros amigos. https://t.co/2qfzVvbuG8"
"12";"@Monica_Garcia_G A los progres que apoyan a MAS MADRID/MAS PEDOFILOS EN LA CALLE ... QUE VAYAN A VIVIR A CUBA UNOS DIAS PARA QUE DISFRUTEN DE LA SANIDAD PUBLICA
NO TIENEN HUEVOS NI HUEVAS!!"
